TICKER|COMPANY|TRADES|LAST_PRICE|PRICE_CHANGE
SNSY5|Sansuy|1100|2.29|+0.00
CTKA4|Karsten|900|33.40|+7.71
ARND3|Arandu|800|0.51|+0.00
B1003|B1003|600|30.00|-6.25
FIEI3|Fica|600|7.50|+0.13
GEPA3|Rio Paranapanema Energia|300|33.60|-0.33
JOPA4|Josapar|300|18.00|+0.00
GEPA4|Rio Paranapanema Energia|200|36.99|+2.01
MWET4|Wetzel|200|30.98|-2.85
PATI3|Panatlântica|200|30.77|+6.14
AHEB3|São Paulo Turismo|200|23.01|-3.68
CLSC3|Celesc|100|132.03|-1.46
MRSA3B|MRS Logística|100|44.50|+5.93
MSPA4|Melhoramentos|100|34.00|-3.16
BALM3|Baumer|100|25.90|-0.38
JOPA3|Josapar|100|17.90|+4.68
CBEE3|Ampla Energia|100|8.81|-0.11
HETA4|Hercules|100|5.10|+6.25
EKTR4|Elektro|400|38.00|+0.00
BGIP3|Banese|200|46.37|+1.47
BNBR3|Banco do Nordeste|100|109.25|+2.10
CEED3|CEEE D|100|10.00|+0.00
MAPT3|Cemepe|100|2.06|-17.60
BIOM11|Biomm|100|2.01|+0.00
CRPG6|Tronox Pigmentos|500|9.45|-3.08
BAUH4|Excelsior|100|93.39|-0.54
SOND6|Sondotécnica|100|78.56|-1.21
MWET3|Wetzel|100|24.50|+4.75
EQPA5|Equatorial Energia Pará|100|9.78|-1.11
CGAS3|Comgás|200|125.69|+0.24
RPAD3|Alfa Holdings|100|7.00|+0.00
SHOW3|Time For Fun|9400|6.24|-4.73
PSVM11|PORTO VM|4000|16.00|+0.00
PEAB3|Participações Aliança da Bahia|3900|38.86|+0.00
DTCY3|Dtcom|200|1.95|-2.50
COCE3|Coelce|100|28.80|+0.00
USIM6|Usiminas|100|6.47|+0.00
CEGR3|Naturgy (CEG)|600|35.00|+16.67
FICT3|Fictor Alimentos|8100|0.19|+0.00
PATI4|Panatlântica|300|30.37|+10.00
SOND5|Sondotécnica|200|82.10|+2.62
MRSA6B|MRS Logística|100|34.89|-0.03
PPLA11|PPLA|40|38.03|+0.00
